"GeneSymbol","EntrezID","sgRNA","CRISPR.beta","CRISPR.z","CRISPR.p.value","CRISPR.fdr","CRISPR.wald.p.value","CRISPR.wald.fdr","replicate1","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","Pathway"
"IGFBP6",3489,6,0.24445,0.74577,0.99037,0.99995,0.45581,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IGFBP7",3490,6,0.18558,0.49186,0.81306,0.99668,0.62282,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IGFBPL1",347252,6,0.60973,0.73957,0.15832,0.89487,0.45956,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IGFL1",374918,6,0.16863,0.36163,0.7649,0.99494,0.71763,0.94548,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IGFL2",147920,6,0.30403,0.76046,0.82933,0.99668,0.44698,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IGFL3",388555,6,0.37412,0.82051,0.6293,0.99107,0.41193,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IGFL4",444882,6,0.67155,1.2726,0.099876,0.82778,0.20316,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IGFLR1",79713,6,0.47561,1.1917,0.37627,0.97543,0.23338,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IGFN1",91156,6,0.28393,0.632,0.89169,0.9983,0.52739,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IGHMBP2",3508,6,0.095553,0.32381,0.56681,0.98716,0.74608,0.94899,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
