"GeneSymbol","EntrezID","WS5219_1_S1_L001_R1_001_seq20_MATCHED1","WS5219_2_S2_L001_R1_001_seq20_MATCHED1","WS5219_3_S3_L001_R1_001_seq20_MATCHED1","Confidence","InputCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","Pathway"
"1700123K08Rik","76658",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700123L14Rik","78482",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700123O20Rik","58248",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700125H20Rik","73634",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700129C05Rik","67932",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1810009A15Rik","66276",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1810009J06Rik","73626",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"1810010H24Rik","69066",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1810013L24Rik","69053",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1810022K09Rik","69126",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
