"GeneSymbol","EntrezID","sgRNA","CRISPR.beta","CRISPR.z","CRISPR.p.value","CRISPR.fdr","CRISPR.wald.p.value","CRISPR.wald.fdr","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","Pathway"
"HTR3A",3359,6,0.34966,0.73676,0.38738,0.54574,0.46127,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HTR3B",9177,6,0.44736,0.86312,0.79181,0.86945,0.38807,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HTR3C",170572,6,0.0016434,0.0060329,0.004655,0.025486,0.99519,0.9995,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HTR3D",200909,6,0.029395,0.088558,0.0073282,0.035255,0.92943,0.98543,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HTR3E",285242,6,0.31079,0.71544,0.27442,0.43384,0.47434,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HTR4",3360,6,0.31342,1.0001,0.28174,0.44096,0.31727,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HTR5A",3361,6,-0.21083,-0.74746,0.000092179,0.0013717,0.45479,0.95824,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"HTR6",3362,6,0.36359,0.99692,0.43504,0.58864,0.3188,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HTR7",3363,6,0.21187,0.69475,0.09582,0.21025,0.48721,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HTRA1",5654,6,0.47948,0.87841,0.94787,0.96859,0.37972,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HTRA2",27429,6,0.034562,0.088121,0.0081117,0.037898,0.92978,0.98544,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HTRA3",94031,6,0.2676,0.56953,0.17887,0.3232,0.569,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HTRA4",203100,6,0.12614,0.31291,0.031709,0.097713,0.75435,0.96206,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HTT",3064,6,0.35423,0.62104,0.40259,0.56004,0.53458,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HUNK",30811,6,0.29156,0.87621,0.22708,0.37976,0.38091,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HUS1",3364,6,0.62438,0.72332,0.39812,0.55571,0.46949,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HUS1B",135458,6,0.41522,1.1047,0.64424,0.76233,0.26927,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HUWE1",10075,6,-0.086753,-0.21825,0.00092179,0.008,0.82723,0.96988,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"HVCN1",84329,6,0.18777,0.49143,0.070517,0.16955,0.62312,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HYAL1",3373,6,0.15282,0.46927,0.044799,0.12392,0.63888,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HYAL2",8692,6,-0.19275,-0.5823,0.000092179,0.0013717,0.56036,0.95824,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
